käsite;käsitesuhde;lähikäsite
ruusukkeinen;;ruusuke
ruusukkeinen;;kierteinen
ruusukkeinen;;vastakkainen
sahalaitainen;yläkäsite;hammaslaitainen
sahalaitainen;yläkäsite;hammaslaitainen
sahalaitainen;vieruskäsite;ehytlaitainen
sahalaitainen;vieruskäsite;nirhalaitainen
sahalaitainen;vieruskäsite;nyhälaitainen
sahalaitainen;yläkäsite;toissahainen
sahalaitainen;yläkäsite;vastasahainen
sahalaitainen;yläkäsite;hienosahainen
sepivä;yläkäsite;lehden tyvi
sepivä;vieruskäsite;johteinen
sepivä;;lehtikorvakkeellinen
aaltopoimuinen;yläkäsite;lehti; pinta
aaltopoimuinen;;lehtilapa
silmu;koostumussuhteinen yläkäsite;lehti; verso
silmu;;nuppu
silmusuomu;yläkäsite;alalehti
silmusuomu;koostumussuhteinen yläkäsite;verso
silmusuomu;;tukilehti
silmusuomu;;alalehti
silmusuomu;;suomu
silposuoninen;yläkäsite;lehtisuonitus
silposuoninen;;suonitus
silposuoninen;vieruskäsite;sulkasuoninen
silposuoninen;vieruskäsite;verkkosuoninen
silposuoninen;vieruskäsite;kourasuoninen
sisähelve;yläkäsite;lehti
sisähelve;koostumussuhteinen yläkäsite;tähkylä
sisähelve;yläkäsite;helve
sisähelve;vieruskäsite;ulkohelve
soikea;yläkäsite;lehtilavan muoto
soikea;vieruskäsite;pitkulainen
soikea;vieruskäsite;pitkänpyöreä
soikea;vieruskäsite;pyöreä
soikea;vieruskäsite;suikea
soikea;vieruskäsite;tasasoukka
soikea;vieruskäsite;puikea
sormilehdykkäinen;yläkäsite;kerrannaislehti
sormilehdykkäinen;yläkäsite;lehdykkäinen
sormilehdykkäinen;;parilehdykkäinen
sormilehdykkäinen;;sormiliuskainen
sormilehdykkäinen;;kourasuoninen
sormilehdykkäinen;;kolmisorminen
sormilehdykkäinen;;jalkamainen
sormiliuskainen;yläkäsite;lehti liuskaisuuden suhteen
sormiliuskainen;yläkäsite;liuskainen
sormiliuskainen;;kourasuoninen
sormiliuskainen;;sormilehdykkäinen
sormiliuskainen;;jalkamainen
sormiliuskainen;yläkäsite;sormihalkoinen
sormiliuskainen;yläkäsite;sormijakoinen
sormiliuskainen;yläkäsite;sormiosainen
suikea;yläkäsite;lehtilavan muoto
suikea;vieruskäsite;pyöreä
suikea;vieruskäsite;soikea
suikea;vieruskäsite;pitkulainen
suikea;vieruskäsite;puikea
suikea;vieruskäsite;tasasoukka
sulkasuoninen;yläkäsite;lehtisuonitus
sulkasuoninen;;suonitus
sulkasuoninen;vieruskäsite;kourasuoninen
sulkasuoninen;vieruskäsite;silposuoninen
sulkasuoninen;vieruskäsite;verkkosuoninen
suojuslehti;yläkäsite;ylälehti
suojuslehti;yläkäsite;lehti
suojuslehti;yläkäsite;ylälehti
suojuslehti;vieruskäsite;tukilehti
suojuslehti;vieruskäsite;alalehti
suojuslehti;vieruskäsite;varuslehti
suojussuomu;yläkäsite;lehti
suojussuomu;;varuslehti
suojussuomu;;suomu
suojussuomu;yläkäsite;suojuslehti
suomu;yläkäsite;lehti
suomu;;alalehti
suomu;;suojuslehti
suomu;yläkäsite;käpysuomu
suomu;yläkäsite;silmusuomu
suomu;yläkäsite;pohjussuomu
suomulehti;yläkäsite;lehti
