termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
omvendt lansettformet;kapean vastapuikea;=;norja;;;;;;
oblanceolate;kapean vastapuikea;=;englanti;;;;;;
omvänt lansettlik;kapean vastapuikea;=;ruotsi;;;;;;
kapeanpuikea;kapeanpuikea;;suomi;adjektiivi;yhdyssana;;-eA;;
mjóegglaga;kapeanpuikea;=;islanti;;;;;;
mjátt eggvaksin;kapeanpuikea;=;fääri;;;;;;
smalt ægformet;kapeanpuikea;=;tanska;;;;;;
smalt eggformet;kapeanpuikea;=;norja;;;;;;
narrowly ovate;kapeanpuikea;=;englanti;;;;;;
lanceolate;kapeanpuikea;=;englanti;;;;;;
smalt äggrund;kapeanpuikea;=;ruotsi;;;;;;
lansettlik;kapeanpuikea;=;ruotsi;;;;;;
kapeansoikea;kapeansoikea;;suomi;adjektiivi;yhdyssana;;-eA;;
narrowly elliptic;kapeansoikea;=;englanti;;;;;;
smalt elliptisk;kapeansoikea;=;ruotsi;;;;;;
kapeansuikea;kapeansuikea;;suomi;adjektiivi;yhdyssana;;-eA;;
narrowly lanceolate;kapeansuikea;=;englanti;;;;;;
smalt lacettlik;kapeansuikea;=;ruotsi;;;;;;
kasvulehti;kasvulehti;;suomi;substantiivi;yhdyssana;;;;
vegetative leaf;kasvulehti;=;englanti;;;;;;
foliage leaf;kasvulehti;=;englanti;;;;;;
örtblad;kasvulehti;=;ruotsi;;;;;;
mellanblad;kasvulehti;=;ruotsi;;;;;;
kehtosuomu;kehtosuomu;;suomi;substantiivi;yhdyssana;;;;
reifar;kehtosuomu;=;islanti;;;;;;
reifablöð;kehtosuomu;=;islanti;;;;;;
kurvareiv;kehtosuomu;=;fääri;;;;;;
kurvsvøb;kehtosuomu;=;tanska;;;;;;
kurvblade;kehtosuomu;=;tanska;;;;;;
korgdekkblad;kehtosuomu;=;norja;;;;;;
involucral bract;kehtosuomu;=;englanti;;;;;;
phyllary;kehtosuomu;=;englanti;;;;;;
holkfjäll;kehtosuomu;=;ruotsi;;;;;;
kehälehti;kehälehti;;suomi;substantiivi;yhdyssana;;;;
blómhlífarblað þegar þau eru öll eins;kehälehti;=;islanti;;;;;;
blómublað;kehälehti;=;fääri;;;;;;
blosterblade;kehälehti;=;tanska;;;;;;
tepal;kehälehti;=;tanska;;;;;;
blomsterblad;kehälehti;=;norja;;;;;;
tepal;kehälehti;=;norja;;;;;;
tepal;kehälehti;=;englanti;;;;;;
hylleblad;kehälehti;=;ruotsi;;;;;;
kalkblad;kehälehti;=;ruotsi;;;;;;
keihäsmäinen;keihäsmäinen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
spjótlaga;keihäsmäinen;=;islanti;;;;;;
spjótvaksin;keihäsmäinen;=;fääri;;;;;;
spydformet;keihäsmäinen;=;tanska;;;;;;
spydformet;keihäsmäinen;=;norja;;;;;;
hastate;keihäsmäinen;=;englanti;;;;;;
spjutlik;keihäsmäinen;=;ruotsi;;;;;;
laakaruoti;laakaruoti;;suomi;substantiivi;yhdyssana;;;;
fyllodio;laakaruoti;;suomi;substantiivi;yhdistämätön;4-tavuinen;;;
blaðkenndur stilkur;laakaruoti;=;islanti;;;;;;
blaðlíkur stelkur;laakaruoti;=;fääri;;;;;;
fyllodium;laakaruoti;=;tanska;;;;;;
fyllodium;laakaruoti;=;norja;;;;;;
phyllode;laakaruoti;=;englanti;;;;;;
platyclade;laakaruoti;=;englanti;;;;;;
phylloclade;laakaruoti;=;englanti;;;;;;
fyllodium;laakaruoti;=;ruotsi;;;;;;
mesikannus;mesikannus;;suomi;substantiivi;yhdyssana;;;;
mesilehti;mesilehti;;suomi;substantiivi;yhdyssana;;;;
sisäkale;sisäkale;;suomi;substantiivi;yhdyssana;;;;
sivulehdykkä;sivulehdykkä;;suomi;substantiivi;yhdyssana;;;;
sormiosainen;sormiosainen;;suomi;adjektiivi;yhdyssana;;-inen;;
ulkokale;ulkokale;;suomi;substantiivi;yhdyssana;;;;
keihästyvinen;keihästyvinen;;suomi;adjektiivi;yhdyssana;;-inen;;
spjótlaga;keihästyvinen;=;islanti;;;;;;
spjótvaksin;keihästyvinen;=;fääri;;;;;;
spydformet;keihästyvinen;=;tanska;;;;;;
spydformet;keihästyvinen;=;norja;;;;;;
hastate;keihästyvinen;=;englanti;;;;;;
spjutlik;keihästyvinen;=;ruotsi;;;;;;
kelluslehti;kelluslehti;;suomi;substantiivi;yhdyssana;;;;
kellulehti;kelluslehti;;suomi;substantiivi;yhdyssana;;;vanhentunut;
flytblad;kelluslehti;=;ruotsi;;;;;;
