termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
suomu;suomu;;suomi;substantiivi;yhdistämätön;2-tavuinen U-loppuinen;;;
hreistur;suomu;=;islanti;;;;;;
flus;suomu;=;fääri;;;;;;
skæl;suomu;=;tanska;;;;;;
skjell;suomu;=;norja;;;;;;
scale;suomu;=;englanti;;;;;;
fjäll;suomu;=;ruotsi;;;;;;
suomulehti;suomulehti;;suomi;substantiivi;yhdyssana;;;;
scale leaf;suomulehti;=;englanti;;;;;;
suomumainen;suomumainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
scale-like;suomumainen;=;englanti;;;;;;
fjällik;suomumainen;=;ruotsi;;;;;;
suoni;suoni;;suomi;substantiivi;yhdistämätön;2-tavuinen i-loppuinen;;;
lehtisuoni;suoni;;suomi;substantiivi;yhdyssana;;;suositeltu;
strengur;suoni;=;islanti;;;;;;
æð;suoni;=;islanti;;;;;;
æðr;suoni;=;fääri;;;;;;
nerve;suoni;=;tanska;;;;;;
streng;suoni;=;tanska;;;;;;
nerve;suoni;=;norja;;;;;;
åre;suoni;=;norja;;;;;;
vein;suoni;=;englanti;;;;;;
nerve;suoni;=;englanti;;;;;;
nerv;suoni;=;ruotsi;;;;;;
suonitus;suonitus;;suomi;substantiivi;yhdistämätön;;-Us;;
vernation;suonitus;=;englanti;;;;;;
nervatur;suonitus;=;ruotsi;;;;;;
surkastunut;surkastunut;;suomi;adjektiivi;yhdistämätön;;-nUt;;
abortiivinen;surkastunut;;suomi;adjektiivi;yhdistämätön;;-inen;;
sem misferst;surkastunut;=;islanti;;;;;;
vanþroskaður;surkastunut;=;islanti;;;;;;
óþarfur;surkastunut;=;islanti;;;;;;
ófullkomin;surkastunut;=;fääri;;;;;;
avlagaður;surkastunut;=;fääri;;;;;;
abortiv;surkastunut;=;tanska;;;;;;
aborterende;surkastunut;=;tanska;;;;;;
ridimentær;surkastunut;=;tanska;;;;;;
aborterende;surkastunut;=;norja;;;;;;
rudimentær;surkastunut;=;norja;;;;;;
rudimentaarinen;surkastunut;;suomi;adjektiivi;yhdistämätön;;-inen;;
reduced;surkastunut;=;englanti;;;;;;
abortive;surkastunut;=;englanti;;;;;;
vestigial;surkastunut;=;englanti;;;;;;
rudimentary;surkastunut;=;englanti;;;;;;
reducerad;surkastunut;=;ruotsi;;;;;;
aborterande;surkastunut;=;ruotsi;;;;;;
tillbakabildad;surkastunut;=;ruotsi;;;;;;
rudimentär;surkastunut;=;ruotsi;;;;;;
tasaparinen;tasaparinen;;suomi;adjektiivi;yhdyssana;;-inen;;
tasalehdykkäinen;tasaparinen;;suomi;adjektiivi;yhdyssana;;-inen;;
jafnfjaðraður;tasaparinen;=;islanti;;;;;;
makafinnutur;tasaparinen;=;fääri;;;;;;
ligefinnet;tasaparinen;=;tanska;;;;;;
likefinnet;tasaparinen;=;norja;;;;;;
paripinnate;tasaparinen;=;englanti;;;;;;
parbladig utan uddblad;tasaparinen;=;ruotsi;;;;;;
tasasoukka;tasasoukka;;suomi;adjektiivi;yhdyssana;;-kkA;;
nauhamainen;tasasoukka;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
striklaga;tasasoukka;=;islanti;;;;;;
strikuvaksin;tasasoukka;=;fääri;;;;;;
lineær;tasasoukka;=;tanska;;;;;;
linieformet;tasasoukka;=;tanska;;;;;;
linjeformet;tasasoukka;=;norja;;;;;;
lienær;tasasoukka;=;norja;;;;;;
linear;tasasoukka;=;englanti;;;;;;
linjär;tasasoukka;=;ruotsi;;;;;;
jämnbred;tasasoukka;=;ruotsi;;;;;;
teriö;teriö;;suomi;substantiivi;yhdistämätön;;-iO;;
króna;teriö;=;islanti;;;;;;
krúna;teriö;=;fääri;;;;;;
krone;teriö;=;tanska;;;;;;
krone;teriö;=;norja;;;;;;
corolla;teriö;=;englanti;;;;;;
krona;teriö;=;ruotsi;;;;;;
terälehti;terälehti;;suomi;substantiivi;yhdyssana;;;;
krónublað;terälehti;=;islanti;;;;;;
krúnublað;terälehti;=;fääri;;;;;;
kronblad;terälehti;=;tanska;;;;;;
kronblad;terälehti;=;norja;;;;;;
petal;terälehti;=;englanti;;;;;;
kronblad;terälehti;=;ruotsi;;;;;;
terävä;terävä;;suomi;adjektiivi;yhdistämätön;;-vA;;
suippo;terävä;;suomi;adjektiivi;yhdistämätön;2-tavuinen O-loppuinen;;;
yddur;terävä;=;islanti;;;;;;
spískur;terävä;=;fääri;;;;;;
spids;terävä;=;tanska;;;;;;
spiss;terävä;=;norja;;;;;;
teräväkärkinen;terävä;;suomi;adjektiivi;yhdyssana;;;;
suippokärkinen;terävä;;suomi;adjektiivi;yhdyssana;;-inen;;
acute;terävä;=;englanti;;;;;;
spetsig;terävä;=;ruotsi;;;;;;
toissahainen;toissahainen;;suomi;adjektiivi;yhdyssana;;-inen;;
toishampainen;toissahainen;;suomi;adjektiivi;yhdyssana;;-inen;;
tvítenntur (tvöfalt tennur);toissahainen;=;islanti;;;;;;
tvísagtenntur (tvölfalt sagtennur);toissahainen;=;islanti;;;;;;
tvísagtentur;toissahainen;=;fääri;;;;;;
tvítentur;toissahainen;=;fääri;;;;;;
dobbeltannet;toissahainen;=;tanska;;;;;;
dobbelt savtakket;toissahainen;=;tanska;;;;;;
dobbelt tandet;toissahainen;=;tanska;;;;;;
dubbelt tandad;toissahainen;=;norja;;;;;;
dobbelt sagtannet;toissahainen;=;norja;;;;;;
dobbeltannet;toissahainen;=;norja;;;;;;
kaksoissahainen;toissahainen;;suomi;adjektiivi;yhdyssana;;-inen;;
doubly dentate;toissahainen;=;englanti;;;;;;
dublicato-dentate;toissahainen;=;englanti;;;;;;
doubly serrate;toissahainen;=;englanti;;;;;;
biserrate;toissahainen;=;englanti;;;;;;
dubbelsågad;toissahainen;=;ruotsi;;;;;;
dubbeltandad;toissahainen;=;ruotsi;;;;;;
dubbelt sågtandad;toissahainen;=;ruotsi;;;;;;
tukilehti;tukilehti;;suomi;substantiivi;yhdyssana;;;;
subtending bract;tukilehti;=;englanti;;;;;;
supporting leaf;tukilehti;=;englanti;;;;;;
stödblad;tukilehti;=;ruotsi;;;;;;
tuppimainen;tuppimainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
sheath-like leaf;tuppimainen;=;englanti;;;;;;
slidlikt blad;tuppimainen;=;ruotsi;;;;;;
tylppä;tylppä;;suomi;adjektiivi;yhdistämätön;2-tavuinen A-loppuinen;;;
oddlaus;tylppä;=;islanti;;;;;;
týtulaus;tylppä;=;islanti;;;;;;
snubbóttur;tylppä;=;islanti;;;;;;
kubbutur;tylppä;=;fääri;;;;;;
but;tylppä;=;tanska;;;;;;
stakløs;tylppä;=;tanska;;;;;;
butt;tylppä;=;norja;;;;;;
snerplaus;tylppä;=;norja;;;;;;
muticous;tylppä;=;englanti;;;;;;
obtuse;tylppä;=;englanti;;;;;;
truncate;tylppä;=;englanti;;;;;;
trubbig;tylppä;=;ruotsi;;;;;;
tvär;tylppä;=;ruotsi;;;;;;
tähkäsuomu;tähkäsuomu;;suomi;substantiivi;yhdyssana;;;;
ulkohelve;ulkohelve;;suomi;substantiivi;yhdyssana;;;;
ytri blómögn;ulkohelve;=;islanti;;;;;;
niðara blómuøgn;ulkohelve;=;fääri;;;;;;
nedre inderavne;ulkohelve;=;tanska;;;;;;
dækblad;ulkohelve;=;tanska;;;;;;
inneragne;ulkohelve;=;norja;;;;;;
lemma;ulkohelve;=;englanti;;;;;;
ytteragn;ulkohelve;=;ruotsi;;;;;;
ytterblomfjäll;ulkohelve;=;ruotsi;;;;;;
ulkosuomu;ulkosuomu;;suomi;substantiivi;yhdyssana;;;suositeltu;
lisäkehtosuomu;ulkosuomu;;suomi;substantiivi;yhdyssana;;;;
uposlehti;uposlehti;;suomi;substantiivi;yhdyssana;;;;
sänkblad;uposlehti;=;ruotsi;;;;;;
submerst blad;uposlehti;=;ruotsi;;;;;;
varsilehti;varsilehti;;suomi;substantiivi;yhdyssana;;;;
stem leaf;varsilehti;=;englanti;;;;;;
mellanblad;varsilehti;=;ruotsi;;;;;;
stjälkblad;varsilehti;=;ruotsi;;;;;;
vastaherttamainen;vastaherttamainen;;suomi;adjektiivi;yhdyssana;;-inen;;
vastoherttainen;vastaherttamainen;;suomi;adjektiivi;yhdyssana;;-inen;vanhentunut;
öfughjartalaga;vastaherttamainen;=;islanti;;;;;;
øvut hjartavaksin;vastaherttamainen;=;fääri;;;;;;
omvendt hjerteformet;vastaherttamainen;=;tanska;;;;;;
omvendt hjerteformet;vastaherttamainen;=;norja;;;;;;
obcordate;vastaherttamainen;=;englanti;;;;;;
omvänt hjärtlik;vastaherttamainen;=;ruotsi;;;;;;
vastakkainen;vastakkainen;;suomi;adjektiivi;yhdistämätön;;-kkAinen;;
gagnstæður;vastakkainen;=;islanti;;;;;;
andstaddur;vastakkainen;=;fääri;;;;;;
modsat;vastakkainen;=;tanska;;;;;;
motsatt;vastakkainen;=;norja;;;;;;
opposite;vastakkainen;=;englanti;;;;;;
motsatt;vastakkainen;=;ruotsi;;;;;;
vastakolmiomainen;vastakolmiomainen;;suomi;adjektiivi;yhdyssana;;-mAinen;;
vastapuikea;vastapuikea;;suomi;adjektiivi;yhdyssana;;-eA;;
vastopuikea;vastapuikea;;suomi;adjektiivi;yhdyssana;;-eA;vanhentunut;
öfugegglaga;vastapuikea;=;islanti;;;;;;
øvut eggvaksin;vastapuikea;=;fääri;;;;;;
omvendt ægformet;vastapuikea;=;tanska;;;;;;
omvendt eggformet;vastapuikea;=;norja;;;;;;
obovate;vastapuikea;=;englanti;;;;;;
omvänt äggrund;vastapuikea;=;ruotsi;;;;;;
venho;venho;;suomi;substantiivi;yhdistämätön;2-tavuinen O-loppuinen;;;
köli;venho;;suomi;substantiivi;yhdistämätön;2-tavuinen i-loppuinen;;;
kjölur;venho;=;islanti;;;;;;
kjølur;venho;=;fääri;;;;;;
køl;venho;=;tanska;;;;;;
kjøl;venho;=;norja;;;;;;
keel;venho;=;englanti;;;;;;
köl;venho;=;ruotsi;;;;;;
verhiö;verhiö;;suomi;substantiivi;yhdistämätön;;-iO;;kreik. kalyks = malja
bikar;verhiö;=;islanti;;;;;;
blómubikar;verhiö;=;fääri;;;;;;
bikar;verhiö;=;fääri;;;;;;
bæger;verhiö;=;tanska;;;;;;
beger;verhiö;=;norja;;;;;;
calyx (pl. calyces);verhiö;=;englanti;;;;;;
foder;verhiö;=;ruotsi;;;;;;
verholehti;verholehti;;suomi;substantiivi;yhdyssana;;;;
bikarblað;verholehti;=;islanti;;;;;;
bikarblað;verholehti;=;fääri;;;;;;
bægerblad;verholehti;=;tanska;;;;;;
begerblad;verholehti;=;norja;;;;;;
sepal;verholehti;=;englanti;;;;;;
foderblad;verholehti;=;ruotsi;;;;;;
verkkomainen;verkkomainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
verkkopintainen;verkkomainen;;suomi;adjektiivi;yhdyssana;;-inen;;
meý æýaneti;verkkomainen;=;islanti;;;;;;
netgreining;verkkomainen;=;islanti;;;;;;
netmynstraður;verkkomainen;=;islanti;;;;;;
netgreining;verkkomainen;=;fääri;;;;;;
net-;verkkomainen;=;fääri;;;;;;
netæðraður;verkkomainen;=;fääri;;;;;;
netåret;verkkomainen;=;tanska;;;;;;
anastomoserende;verkkomainen;=;tanska;;;;;;
nettåret;verkkomainen;=;norja;;;;;;
dannenettverk;verkkomainen;=;norja;;;;;;
reticulate;verkkomainen;=;englanti;;;;;;
anastomosing;verkkomainen;=;englanti;;;;;;
nätlik;verkkomainen;=;ruotsi;;;;;;
nätådrig;verkkomainen;=;ruotsi;;;;;;
anastomoserande;verkkomainen;=;ruotsi;;;;;;
nätlik nervatur;verkkomainen;=;ruotsi;;;;;;
verkkosuoninen;verkkosuoninen;;suomi;adjektiivi;yhdyssana;;-inen;;
net-veined;verkkosuoninen;=;englanti;;;;;;
nätnervig;verkkosuoninen;=;ruotsi;;;;;;
vesalehti;vesalehti;;suomi;substantiivi;yhdyssana;;;;
vuorolehdykkäinen;vuorolehdykkäinen;;suomi;adjektiivi;yhdyssana;;-kkAinen;;
vuoroparinen;vuorolehdykkäinen;;suomi;adjektiivi;yhdyssana;;-inen;vanhentunut;
jafnfjaðraður;vuorolehdykkäinen;=;islanti;;;;;;
víxlfjaðraður;vuorolehdykkäinen;=;islanti;;;;;;
misstatt finnutur;vuorolehdykkäinen;=;fääri;;;;;;
alternerende finnet;vuorolehdykkäinen;=;tanska;;;;;;
alternerende finnet;vuorolehdykkäinen;=;norja;;;;;;
alternately pinnate;vuorolehdykkäinen;=;englanti;;;;;;
växelvis parbladig;vuorolehdykkäinen;=;ruotsi;;;;;;
vuorottainen;vuorottainen;;suomi;adjektiivi;yhdistämätön;;-ttAinen;;
stakstæður;vuorottainen;=;islanti;;;;;;
misstaddur;vuorottainen;=;fääri;;;;;;
alternerende;vuorottainen;=;tanska;;;;;;
alternerende;vuorottainen;=;norja;;;;;;
alternate;vuorottainen;<;englanti;;;;;;
spiralställda blad;vuorottainen;=;ruotsi;;;;;;
växelvis;vuorottainen;=;ruotsi;;;;;;
blad alternerande;vuorottainen;=;ruotsi;;;;;;
disticha blad;vuorottainen;=;ruotsi;;;;;;
yhdislehtinen;yhdislehtinen;;suomi;adjektiivi;yhdyssana;;-inen;;
fused;yhdislehtinen;=;englanti;;;;;;
sambladig;yhdislehtinen;=;ruotsi;;;;;;
yhdistynyt;yhdistynyt;;suomi;adjektiivi;yhdistämätön;;-nUt;;
united;yhdistynyt;=;englanti;;;;;;
sammanväxt;yhdistynyt;=;ruotsi;;;;;;
ylälehti;ylälehti;;suomi;substantiivi;yhdyssana;;;;
stoýblaý;ylälehti;=;islanti;;;;;;
háblaÙ;ylälehti;=;fääri;;;;;;
støtteblad;ylälehti;=;tanska;;;;;;
støtteblad;ylälehti;=;norja;;;;;;
upper leaf;ylälehti;=;englanti;;;;;;
bract;ylälehti;=;englanti;;;;;;
högblad;ylälehti;=;ruotsi;;;;;;
stödblad;ylälehti;=;ruotsi;;;;;;
äimämäinen;äimämäinen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
allaga;äimämäinen;=;islanti;;;;;;
sýlvaksin;äimämäinen;=;fääri;;;;;;
sylformet;äimämäinen;=;tanska;;;;;;
sylformet;äimämäinen;=;norja;;;;;;
subulate;äimämäinen;=;englanti;;;;;;
syllikt;äimämäinen;=;ruotsi;;;;;;
sylformig;äimämäinen;=;ruotsi;;;;;;
ruutu;ruutu;;suomi;substantiivi;yhdistämätön;2-tavuinen U-loppuinen;;;
areoli;ruutu;;suomi;substantiivi;yhdistämätön;4-tavuinen;;;
reitur;ruutu;=;islanti;;;;;;
meskur;ruutu;=;fääri;;;;;;
celle;ruutu;=;tanska;;;;;;
(net)maske;ruutu;=;tanska;;;;;;
areole;ruutu;=;tanska;;;;;;
rute;ruutu;=;norja;;;;;;
areole;ruutu;=;englanti;;;;;;
areola (pl. areolae);ruutu;=;englanti;;;;;;
areol;ruutu;=;ruotsi;;;;;;
ruutupintainen;ruutupintainen;;suomi;adjektiivi;yhdyssana;;-inen;;
ruutuinen;ruutupintainen;;suomi;adjektiivi;yhdistämätön;;-inen;;
reitaður;ruutupintainen;=;islanti;;;;;;
reitskiptur;ruutupintainen;=;islanti;;;;;;
við meskum;ruutupintainen;=;fääri;;;;;;
areolat;ruutupintainen;=;tanska;;;;;;
rutemønstret;ruutupintainen;=;norja;;;;;;
areolat;ruutupintainen;=;norja;;;;;;
areolate;ruutupintainen;=;englanti;;;;;;
rutmönstrad;ruutupintainen;=;ruotsi;;;;;;
suippotyvinen;suippotyvinen;;suomi;adjektiivi;yhdyssana;;-inen;;
kapenevatyvinen;suippotyvinen;;suomi;adjektiivi;yhdyssana;;-inen;;
1 jafnt mjókkandi;suippotyvinen;=;islanti;;;;;;
2 stutt- niýurmjór;suippotyvinen;=;islanti;;;;;;
ið smalkar javnt;suippotyvinen;=;fääri;;;;;;
1 afsmalnet;suippotyvinen;=;tanska;;;;;;
2 kort afsmalnende;suippotyvinen;=;tanska;;;;;;
1 avsmalnende;suippotyvinen;=;norja;;;;;;
2 kort avsmalnende;suippotyvinen;=;norja;;;;;;
attenuate;suippotyvinen;=;englanti;;;;;;
shortly attenuate;suippotyvinen;>;englanti;;;;;;
1 avsmalnande;suippotyvinen;=;ruotsi;;;;;;
långsamt avsmalnande;suippotyvinen;=;ruotsi;;;;;;
2 snabbt avsmalnande;suippotyvinen;=;ruotsi;;;;;;
lehtikorvake;lehtikorvake;;suomi;substantiivi;yhdyssana;;;;
blaðeyra;lehtikorvake;=;islanti;;;;;;
blaðoyra;lehtikorvake;=;fääri;;;;;;
bladøre;lehtikorvake;=;tanska;;;;;;
bladøre;lehtikorvake;=;norja;;;;;;
auricle;lehtikorvake;=;englanti;;;;;;
bladöra;lehtikorvake;=;ruotsi;;;;;;
lehtikorvakkeellinen;lehtikorvakkeellinen;;suomi;adjektiivi;yhdyssana;;-llinen;;
með blaðeyru;lehtikorvakkeellinen;=;islanti;;;;;;
við blaðoyrum;lehtikorvakkeellinen;=;fääri;;;;;;
med bladører;lehtikorvakkeellinen;=;tanska;;;;;;
med bladører;lehtikorvakkeellinen;=;norja;;;;;;
auriculate;lehtikorvakkeellinen;=;englanti;;;;;;
försedd med bladöron;lehtikorvakkeellinen;=;ruotsi;;;;;;
hanka;hanka;;suomi;substantiivi;yhdistämätön;2-tavuinen A-loppuinen;;;
lehtihanka;hanka;;suomi;substantiivi;yhdyssana;;;;
blaðöxl;hanka;=;islanti;;;;;;
grip;hanka;=;fääri;;;;;;
blaðgripur;hanka;=;fääri;;;;;;
bladhjørne;hanka;=;tanska;;;;;;
bladhjørne;hanka;=;norja;;;;;;
lehden hanka;hanka;;suomi;substantiivi;sanaliitto;;;;
axil;hanka;=;englanti;;;;;;
leaf axil;hanka;=;englanti;;;;;;
veck;hanka;=;ruotsi;;;;;;
bladveck;hanka;=;ruotsi;;;;;;
kaksiliuskainen;kaksiliuskainen;;suomi;adjektiivi;yhdyssana;;-inen;;
tvíklofinn;kaksiliuskainen;=;islanti;;;;;;
tvíklovin;kaksiliuskainen;=;fääri;;;;;;
kløvet;kaksiliuskainen;=;tanska;;;;;;
tokløvd;kaksiliuskainen;=;norja;;;;;;
bifid;kaksiliuskainen;=;englanti;;;;;;
tvåkluven;kaksiliuskainen;=;ruotsi;;;;;;
toistamiseen parilehdykkäinen;toistamiseen parilehdykkäinen;;suomi;adjektiivi;sanaliitto;;-kkAinen;;
toisparinen;toistamiseen parilehdykkäinen;;suomi;adjektiivi;yhdyssana;;-inen;vanhentunut;
tvífjaðraður;toistamiseen parilehdykkäinen;=;islanti;;;;;;
tvífinnutur;toistamiseen parilehdykkäinen;=;fääri;;;;;;
dobbelt finnet;toistamiseen parilehdykkäinen;=;tanska;;;;;;
dobbeltfinnet;toistamiseen parilehdykkäinen;=;norja;;;;;;
kaksi kertaa parilehdykkäinen;toistamiseen parilehdykkäinen;;suomi;adjektiivi;sanaliitto;;;;
bipinnate;toistamiseen parilehdykkäinen;=;englanti;;;;;;
dubbelt parbladig;toistamiseen parilehdykkäinen;=;ruotsi;;;;;;
toistamiseen kolmisorminen;toistamiseen kolmisorminen;;suomi;adjektiivi;sanaliitto;;-inen;;
tvíþrífingraður;toistamiseen kolmisorminen;=;islanti;;;;;;
dupult trífingrutur;toistamiseen kolmisorminen;=;fääri;;;;;;
dobbelt tredelt;toistamiseen kolmisorminen;=;tanska;;;;;;
dobbelt tredelt/trekoplet;toistamiseen kolmisorminen;=;norja;;;;;;
biternate;toistamiseen kolmisorminen;=;englanti;;;;;;
dubbelt tredelad;toistamiseen kolmisorminen;=;ruotsi;;;;;;
esilehti;esilehti;;suomi;substantiivi;yhdyssana;;;;
forblað;esilehti;=;islanti;;;;;;
forblað;esilehti;=;fääri;;;;;;
forblad;esilehti;=;tanska;;;;;;
forblad;esilehti;=;norja;;;;;;
bracteole;esilehti;=;englanti;;;;;;
primary leaf;esilehti;=;englanti;;;;;;
förblad;esilehti;=;ruotsi;;;;;;
varuslehti;varuslehti;;suomi;substantiivi;yhdyssana;;;;
háblað;varuslehti;=;islanti;;;;;;
smáreivblað;varuslehti;=;fääri;;;;;;
småsvøbblad;varuslehti;=;tanska;;;;;;
småsvøpblad;varuslehti;=;norja;;;;;;
bractlet;varuslehti;=;englanti;;;;;;
svepeblad (i enskilt svepe);varuslehti;=;ruotsi;;;;;;
hapsiliuskainen;hapsiliuskainen;;suomi;adjektiivi;yhdyssana;;-inen;;
hárfínn;hapsiliuskainen;=;islanti;;;;;;
hárfínur;hapsiliuskainen;=;fääri;;;;;;
hårfin;hapsiliuskainen;=;tanska;;;;;;
hårtynn;hapsiliuskainen;=;norja;;;;;;
hårfin;hapsiliuskainen;=;norja;;;;;;
capillary;hapsiliuskainen;=;englanti;;;;;;
hårfin;hapsiliuskainen;=;ruotsi;;;;;;
kärhellinen;kärhellinen;;suomi;adjektiivi;yhdistämätön;;-llinen;;
endar í bugðóttum eða gormlaga þræði;kärhellinen;=;islanti;;;;;;
við klivtráði sum endar í bukt ella snyrli;kärhellinen;=;fääri;;;;;;
med slyngtråd;kärhellinen;=;tanska;;;;;;
med slyngtråd;kärhellinen;=;norja;;;;;;
cirrhose;kärhellinen;=;englanti;;;;;;
med klänge;kärhellinen;=;ruotsi;;;;;;
herttamainen;herttamainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
hjartalaga;herttamainen;=;islanti;;;;;;
hjartavaksin;herttamainen;=;fääri;;;;;;
hjerteformet;herttamainen;=;tanska;;;;;;
hjerteformet;herttamainen;=;norja;;;;;;
cordate;herttamainen;=;englanti;;;;;;
hjärtlik;herttamainen;=;ruotsi;;;;;;
lisäteriö;lisäteriö;;suomi;substantiivi;yhdyssana;;;;
hjákróna;lisäteriö;=;islanti;;;;;;
hjákrúna;lisäteriö;=;fääri;;;;;;
bikrone;lisäteriö;=;tanska;;;;;;
korona;lisäteriö;=;norja;;;;;;
bikrone;lisäteriö;=;norja;;;;;;
corona (pl. coronae; coronas);lisäteriö;=;englanti;;;;;;
bikrona;lisäteriö;=;ruotsi;;;;;;
hjákrónuflipar;;=;islanti;;;;;;
hjákrúnuflippur;;=;fääri;;;;;;
bikroneflige;;=;tanska;;;;;;
bikronefliker;;=;norja;;;;;;
coronal scales;;=;englanti;;;;;;
bikronflikar;;=;ruotsi;;;;;;
costa (pl. costae);;=;englanti;;;;;;
costule;;=;englanti;;;;;;
piispansauva;piispansauva;;suomi;substantiivi;yhdyssana;;;;
bagall;piispansauva;=;islanti;;;;;;
biskupsstavur;piispansauva;=;fääri;;;;;;
bispestav;piispansauva;=;tanska;;;;;;
bispestav;piispansauva;=;norja;;;;;;
crozier;piispansauva;=;englanti;;;;;;
kräkla;piispansauva;=;ruotsi;;;;;;
huppumainen;huppumainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
hattlaga;huppumainen;=;islanti;;;;;;
hettulaga;huppumainen;=;islanti;;;;;;
hattvaksin;huppumainen;=;fääri;;;;;;
hettuvaksin;huppumainen;=;fääri;;;;;;
hætteformet;huppumainen;=;tanska;;;;;;
med hetteform;huppumainen;=;norja;;;;;;
hetteformet,hjelmformet;huppumainen;=;norja;;;;;;
cucullate;huppumainen;=;englanti;;;;;;
hooded;huppumainen;=;englanti;;;;;;
huvlik;huppumainen;=;ruotsi;;;;;;
tasakylkisen kolmiomainen;tasakylkisen kolmiomainen;;suomi;adjektiivi;sanaliitto;;-mAinen;;
jafnhliða þríhyrningslaga;tasakylkisen kolmiomainen;=;islanti;;;;;;
javnsíðutríhyrntur;tasakylkisen kolmiomainen;=;fääri;;;;;;
deltaformet;tasakylkisen kolmiomainen;=;tanska;;;;;;
likesidig trekantet;tasakylkisen kolmiomainen;=;norja;;;;;;
deltate;tasakylkisen kolmiomainen;=;englanti;;;;;;
liksidigt triangulär;tasakylkisen kolmiomainen;=;ruotsi;;;;;;
hienohampainen;hienohampainen;;suomi;adjektiivi;yhdyssana;;-inen;;
pikkuhampainen;hienohampainen;;suomi;adjektiivi;yhdyssana;;-inen;;
smátenntur;hienohampainen;=;islanti;;;;;;
smátentur;hienohampainen;=;fääri;;;;;;
fint tandet;hienohampainen;=;tanska;;;;;;
fint tannet;hienohampainen;=;norja;;;;;;
småtannet;hienohampainen;=;norja;;;;;;
denticulate;hienohampainen;=;englanti;;;;;;
fintandad;hienohampainen;=;ruotsi;;;;;;
fint tandad;hienohampainen;=;ruotsi;;;;;;
uposlehtinen;uposlehtinen;;suomi;adjektiivi;yhdyssana;;-inen;;kreik. helodes = soinen, rämeinen
elodeidi;uposlehtinen;;suomi;substantiivi;yhdistämätön;4-tavuinen;;;
rótföst flækjuplanta;uposlehtinen;=;islanti;;;;;;
rótlausar flækjuplöntur;uposlehtinen;=;islanti;;;;;;
rótføst vatnplanta;uposlehtinen;=;fääri;;;;;;
 rótleys vatnplanta;uposlehtinen;=;fääri;;;;;;
langskudsplante;uposlehtinen;=;tanska;;;;;;
langskuddplante;uposlehtinen;=;norja;;;;;;
uposlehtiset;uposlehtinen;;suomi;substantiivi;yhdyssana;monikko;;;
elodeid;uposlehtinen;=;englanti;;;;;;
långskottsväxt;uposlehtinen;=;ruotsi;;;;;;
matalasti risalaitainen;matalasti risalaitainen;;suomi;adjektiivi;sanaliitto;;-inen;;
tirjóttur;matalasti risalaitainen;=;islanti;;;;;;
slitin;matalasti risalaitainen;=;fääri;;;;;;
tærdur;matalasti risalaitainen;=;fääri;;;;;;
trevsutur;matalasti risalaitainen;=;fääri;;;;;;
uregelmæsigt tandet-takket;matalasti risalaitainen;=;tanska;;;;;;
småfrynset;matalasti risalaitainen;=;norja;;;;;;
erose;matalasti risalaitainen;=;englanti;;;;;;
sargad;matalasti risalaitainen;=;ruotsi;;;;;;
korvakkeeton;korvakkeeton;;suomi;adjektiivi;yhdistämätön;;-tOn;;
axlablaðalaus;korvakkeeton;=;islanti;;;;;;
við ongum akslarbløðum;korvakkeeton;=;fääri;;;;;;
uden fodflige/akselblade;korvakkeeton;=;tanska;;;;;;
uten stipler/øreblad;korvakkeeton;=;norja;;;;;;
exstipulate;korvakkeeton;=;englanti;;;;;;
utan stipler;korvakkeeton;=;ruotsi;;;;;;
stipellös;korvakkeeton;=;ruotsi;;;;;;
sirppimäinen;sirppimäinen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
sigðlaga;sirppimäinen;=;islanti;;;;;;
sigdvaksin;sirppimäinen;=;fääri;;;;;;
seglformet;sirppimäinen;=;tanska;;;;;;
sigdformet;sirppimäinen;=;norja;;;;;;
falcate;sirppimäinen;=;englanti;;;;;;
skärformig;sirppimäinen;=;ruotsi;;;;;;
lehtimäinen;lehtimäinen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
blaðlaga;lehtimäinen;=;islanti;;;;;;
blaðkendur;lehtimäinen;=;fääri;;;;;;
bladlignende;lehtimäinen;=;tanska;;;;;;
bladformet;lehtimäinen;=;norja;;;;;;
foliaceous;lehtimäinen;=;englanti;;;;;;
bladlik;lehtimäinen;=;ruotsi;;;;;;
frond;;=;englanti;;;;;;
emiöperä;emiöperä;;suomi;substantiivi;yhdyssana;;;;
gynofori;emiöperä;;suomi;substantiivi;yhdyssana;;;;
stílsúla;emiöperä;=;islanti;;;;;;
teinasúla;emiöperä;=;fääri;;;;;;
gynofor;emiöperä;=;tanska;;;;;;
gynofor;emiöperä;=;norja;;;;;;
emipieli;emiöperä;;suomi;substantiivi;yhdyssana;;;vanhentunut;
gynophore;emiöperä;=;englanti;;;;;;
gynofor;emiöperä;=;ruotsi;;;;;;
